bioguide,name,chamber,party,state,district,industry_labels,policy_topics,committees,subcommittees,official_url
B001314,Aaron Bean,House,Republican,FL,4,[],[],"[""House Committee on Ways and Means""]","[""Oversight"", ""Social Security"", ""Work and Welfare""]",https://bean.house.gov
H001098,Abraham J. Hamadeh,House,Republican,AZ,8,"[""Aerospace & defense"", ""Aircraft manufacturing"", ""Biotechnology"", ""Cybersecurity"", ""Defense aerospace"", ""Defense communications"", ""Defense electronics"", ""Defense systems"", ""Defense technology"", ""Health insurance"", ""Healthcare services"", ""Healthcare software"", ""Medical devices"", ""Medical diagnostics"", ""Military drones"", ""Military systems"", ""Missile systems"", ""Nuclear technology"", ""Pharmaceuticals"", ""Satellite communications"", ""Space systems""]","[""Classified intelligence"", ""FDA policy"", ""Ground combat systems"", ""Health insurance policy"", ""Military intelligence"", ""Military procurement"", ""Military space"", ""Missile defense"", ""National defense"", ""Nuclear deterrence"", ""Public health policy"", ""Special operations"", ""Tactical aviation""]","[""House Committee on Armed Services"", ""House Committee on Veterans' Affairs""]","[""Economic Opportunity"", ""Health"", ""Intelligence and Special Operations"", ""Strategic Forces"", ""Tactical Air and Land Forces""]",https://hamadeh.house.gov
G000605,Adam Gray,House,Democrat,CA,13,"[""Agriculture"", ""Animal nutrition"", ""Broad commodities"", ""Cryptocurrency exchange"", ""Derivatives"", ""Digital assets"", ""Farm supplies"", ""Forestry"", ""Futures-based commodity exposure"", ""Livestock health"", ""Mining royalties"", ""Natural-gas exploration & production"", ""Oil exploration & production"", ""Packaged foods"", ""Specialty minerals"", ""Water infrastructure"", ""Water utilities""]","[""Agricultural policy"", ""Commodity markets"", ""Dairy policy"", ""Digital asset policy"", ""Fisheries"", ""Food policy"", ""Forestry policy"", ""Horticulture policy"", ""Livestock policy"", ""Natural resources policy"", ""Poultry policy"", ""Public lands"", ""Rural development"", ""Water policy"", ""Wildlife""]","[""House Committee on Agriculture"", ""House Committee on Natural Resources""]","[""Commodity Markets, Digital Assets, and Rural Development"", ""Forestry and Horticulture"", ""Livestock, Dairy, and Poultry"", ""Water, Wildlife and Fisheries""]",https://gray.house.gov
S000510,Adam Smith,House,Democrat,WA,9,"[""Aerospace & defense"", ""Defense systems"", ""Defense technology""]","[""Military procurement"", ""National defense""]","[""House Committee on Armed Services""]",[],https://adamsmith.house.gov
M001240,Addison P. McDowell,House,Republican,NC,6,"[""Aerospace systems"", ""Air freight"", ""Aircraft manufacturing"", ""Commercial aerospace"", ""Forestry"", ""Infrastructure construction"", ""Logistics"", ""Maritime transportation"", ""Mining royalties"", ""Natural-gas exploration & production"", ""Oil exploration & production"", ""Passenger airlines"", ""Specialty minerals"", ""Transit systems"", ""Transportation infrastructure"", ""Water infrastructure"", ""Water utilities""]","[""Aviation safety"", ""Coast Guard"", ""FAA policy"", ""Fisheries"", ""Highway policy"", ""Infrastructure policy"", ""Maritime policy"", ""Natural resources policy"", ""Public lands"", ""Public transit"", ""Transportation policy"", ""Water policy"", ""Wildlife""]","[""House Committee on Natural Resources"", ""House Committee on Transportation and Infrastructure"", ""House Committee on the Budget""]","[""Aviation"", ""Coast Guard and Maritime Transportation"", ""Highways and Transit"", ""Indian and Insular Affairs"", ""Water, Wildlife and Fisheries""]",https://mcdowell.house.gov
G000606,Adelita S. Grijalva,House,Democrat,AZ,7,"[""Forestry"", ""Gold"", ""Iron ore"", ""Mining royalties"", ""Natural-gas exploration & production"", ""Oil exploration & production"", ""Silver"", ""Specialty minerals""]","[""Federal energy resources"", ""Mining policy"", ""Natural resources policy"", ""Public lands""]","[""House Committee on Education and Workforce"", ""House Committee on Natural Resources""]","[""Early Childhood, Elementary, and Secondary Education"", ""Energy and Mineral Resources"", ""Higher Education and Workforce Development"", ""Indian and Insular Affairs""]",https://grijalva.house.gov
S001172,Adrian Smith,House,Republican,NE,3,"[""Biotechnology"", ""Health insurance"", ""Healthcare services"", ""Healthcare software"", ""Managed care"", ""Medical devices"", ""Medical diagnostics"", ""Pharmaceuticals""]","[""Customs"", ""FDA policy"", ""Health insurance policy"", ""Health tax policy"", ""Medicare policy"", ""Public health policy"", ""Tariffs"", ""Trade policy""]","[""House Committee on Ways and Means"", ""Joint Committee on Taxation""]","[""Health"", ""Trade""]",https://adriansmith.house.gov
E000297,Adriano Espaillat,House,Democrat,NY,13,"[""Commercial aerospace"", ""Infrastructure construction"", ""Multifamily residential REIT"", ""Rail equipment"", ""Residential real estate"", ""Transportation infrastructure""]","[""Federal appropriations"", ""Housing policy"", ""Transportation funding""]","[""House Committee on Appropriations""]","[""Legislative Branch"", ""Transportation, Housing and Urban Development, and Related Agencies""]",https://espaillat.house.gov
W000832,Aisha Wahab,House,Democrat,CA,14,[],[],[],[],
G000553,Al Green,House,Democrat,TX,9,"[""Asset management"", ""Banking"", ""Commercial banking"", ""Consumer banking"", ""Consumer finance"", ""Credit cards"", ""Fintech"", ""Insurance"", ""Regional banking"", ""Securities exchanges""]","[""Bank regulation"", ""Consumer financial protection"", ""Financial regulation""]","[""House Committee on Financial Services"", ""House Committee on Homeland Security""]","[""Border Security and Enforcement"", ""Financial Institutions"", ""Oversight and Investigations"", ""Oversight, Investigations, and Accountability""]",https://algreen.house.gov
O000172,Alexandria Ocasio-Cortez,House,Democrat,NY,14,"[""Battery storage"", ""Biotechnology"", ""Electric utilities"", ""Health insurance"", ""Healthcare services"", ""Healthcare software"", ""Hydrogen energy"", ""Integrated oil & gas"", ""Medical devices"", ""Medical diagnostics"", ""Natural-gas exploration & production"", ""Nuclear power"", ""Oil & gas pipelines"", ""Pharmaceuticals"", ""Power generation"", ""Power transmission"", ""Solar energy"", ""Wind energy""]","[""Consumer protection"", ""Energy infrastructure"", ""Energy policy"", ""Energy regulation"", ""FDA policy"", ""Grid reliability"", ""Health insurance policy"", ""Interstate commerce"", ""Public health"", ""Public health policy"", ""Telecommunications policy""]","[""House Committee on Energy and Commerce""]","[""Energy"", ""Health"", ""Oversight and Investigations""]",https://ocasio-cortez.house.gov
